142,139,484198,2013_09_15_tbamlb_minmlb_1
116,118,428442,2013_09_15_kcamlb_detmlb_1
134,112,482631,2013_09_15_chnmlb_pitmlb_1
109,115,427413,2013_09_15_colmlb_arimlb_1
120,143,427362,2013_09_15_phimlb_wasmlb_1
138,136,427534,2013_09_15_seamlb_slnmlb_1
158,113,483569,2013_09_15_cinmlb_milmlb_1
121,146,489942,2013_09_15_miamlb_nynmlb_1
117,108,427509,2013_09_15_anamlb_houmlb_1
119,137,427053,2013_09_15_sfnmlb_lanmlb_1
144,135,427093,2013_09_15_sdnmlb_atlmlb_1
140,133,427235,2013_09_15_oakmlb_texmlb_1
111,147,427292,2013_09_15_nyamlb_bosmlb_1
145,114,431232,2013_09_15_clemlb_chamlb_1
141,110,427457,2013_09_15_balmlb_tormlb_1
140,139,427269,2013_09_30_tbamlb_texmlb_1
139,110,427156,2013_09_21_balmlb_tbamlb_1
147,137,427361,2013_09_21_sfnmlb_nyamlb_1
118,140,427554,2013_09_21_texmlb_kcamlb_1
114,117,490319,2013_09_21_houmlb_clemlb_1
143,121,483919,2013_09_21_nynmlb_phimlb_1
108,136,427128,2013_09_21_seamlb_anamlb_1
120,146,427090,2013_09_21_miamlb_wasmlb_1
158,138,427315,2013_09_21_slnmlb_milmlb_1
112,144,482620,2013_09_21_atlmlb_chnmlb_1
116,145,427552,2013_09_21_chamlb_detmlb_1
135,119,503586,2013_09_21_lanmlb_sdnmlb_1
115,109,427269,2013_09_21_arimlb_colmlb_1
134,113,427103,2013_09_21_cinmlb_pitmlb_1
133,142,427243,2013_09_21_minmlb_oakmlb_1
111,141,484499,2013_09_21_tormlb_bosmlb_1
113,134,427533,2013_09_27_pitmlb_cinmlb_1
136,133,427537,2013_09_27_oakmlb_seamlb_1
146,116,427206,2013_09_27_detmlb_miamlb_1
137,135,427128,2013_09_27_sdnmlb_sfnmlb_1
110,111,482641,2013_09_27_bosmlb_balmlb_1
144,143,483564,2013_09_27_phimlb_atlmlb_1
117,147,427095,2013_09_27_nyamlb_houmlb_1
138,112,427286,2013_09_27_chnmlb_slnmlb_1
119,115,428442,2013_09_27_colmlb_lanmlb_1
109,120,427168,2013_09_27_wasmlb_arimlb_1
140,108,427115,2013_09_27_anamlb_texmlb_1
141,139,427081,2013_09_27_tbamlb_tormlb_1
142,114,427413,2013_09_27_clemlb_minmlb_1
145,118,427339,2013_09_27_kcamlb_chamlb_1
121,158,427457,2013_09_27_milmlb_nynmlb_1
158,113,427220,2013_09_14_cinmlb_milmlb_1
142,139,427299,2013_09_14_tbamlb_minmlb_1
140,133,427538,2013_09_14_oakmlb_texmlb_1
109,115,484499,2013_09_14_colmlb_arimlb_1
119,137,427286,2013_09_14_sfnmlb_lanmlb_1
138,136,482641,2013_09_14_seamlb_slnmlb_1
134,112,427108,2013_09_14_chnmlb_pitmlb_1
121,146,483564,2013_09_14_miamlb_nynmlb_2
117,108,427533,2013_09_14_anamlb_houmlb_1
111,147,427115,2013_09_14_nyamlb_bosmlb_1
120,143,427261,2013_09_14_phimlb_wasmlb_1
141,110,427044,2013_09_14_balmlb_tormlb_1
144,135,427206,2013_09_14_sdnmlb_atlmlb_1
145,114,427081,2013_09_14_clemlb_chamlb_1
121,146,427545,2013_09_14_miamlb_nynmlb_1
116,118,427229,2013_09_14_kcamlb_detmlb_1
158,138,482608,2013_09_20_slnmlb_milmlb_1
111,141,427520,2013_09_20_tormlb_bosmlb_1
120,146,427366,2013_09_20_miamlb_wasmlb_1
147,137,427108,2013_09_20_sfnmlb_nyamlb_1
135,119,427344,2013_09_20_lanmlb_sdnmlb_1
139,110,427129,2013_09_20_balmlb_tbamlb_1
108,136,427164,2013_09_20_seamlb_anamlb_1
118,140,427362,2013_09_20_texmlb_kcamlb_1
116,145,427509,2013_09_20_chamlb_detmlb_1
133,142,427026,2013_09_20_minmlb_oakmlb_1
114,117,429805,2013_09_20_houmlb_clemlb_1
134,113,427053,2013_09_20_cinmlb_pitmlb_1
143,121,427197,2013_09_20_nynmlb_phimlb_1
112,144,427144,2013_09_20_atlmlb_chnmlb_1
115,109,427454,2013_09_20_arimlb_colmlb_1
145,114,427454,2013_09_12_clemlb_chamlb_1
138,158,427197,2013_09_12_milmlb_slnmlb_1
139,111,427013,2013_09_12_bosmlb_tbamlb_1
143,135,427552,2013_09_12_sdnmlb_phimlb_1
141,108,503586,2013_09_12_anamlb_tormlb_1
146,144,427164,2013_09_12_atlmlb_miamlb_1
119,137,427103,2013_09_12_sfnmlb_lanmlb_1
110,147,427554,2013_09_12_nyamlb_balmlb_1
134,112,427361,2013_09_12_chnmlb_pitmlb_1
142,133,427344,2013_09_12_oakmlb_minmlb_1
121,120,427424,2013_09_12_wasmlb_nynmlb_1
147,111,427164,2013_09_08_bosmlb_nyamlb_1
138,134,484499,2013_09_08_pitmlb_slnmlb_1
